1	2	1	2	2002	899.322	1331
1	2	1	2	2103	826.856	1542
1	2	1	2	1977	944.241	1952
1	2	1	2	1964.2613	962.66258	1612.2502
1	2	1	2	1964.598	953.80435	1530.0197
1	2	1	2	1969.2176	951.46361	1756.4968
1	2	1	2	1974.7891	948.16999	1871.7537
1	2	1	2	1982.018	921.5385	1407.9335
1	2	1	2	2003.0134	890.71156	1292.1185
1	2	1	2	2078.457	828.14355	1699.265
1	2	1	2	2080.6659	828.16266	1886.186
1	2	1	2	2080.882	828.16455	1804.876
1	2	1	2	2089.2025	828.23655	1570.377
1	2	1	2	2091.967	830.68086	1939.5737
1	2	1	2	2122.774	828.52699	1517.4828
1	2	1	2	2139.9243	831.13261	1941.0787
1	2	1	2	2185.595	828.11522	2135.0826
1	2	1	2	2241.6766	831.96107	2127.1137
1	2	1	2	2272.1356	818.62436	2191.527
