1	1	-335.39	85.17	-21.68 1 0 0 0 1 0 
1	1	-507.12	85.17	-71.04 1 0 0 0 1 0
1	1	-380.63	19.02	-194.9 1 0 0 0 0 1
1	1	-450.71	19.02	-223.94 1 0 0 0 0 1
2	2	-416.77	40.93	-195.99 1 0 0 0 0 1
3	3	-531.58	1.67	34.41 1 0 0 0 1 0
3	3	-538.8	81.37	-64.77 1 0 0 0 1 0
3	3	-528.41	1.67	-149.95 1 0 0 0 1 0
3	3	97.13	86.51	42.34 1 0 0 0 1 0
